name,time,rssi
device_uplink,1592732654523000000,-30
device_uplink,1592732841034000000,-46
device_uplink,1592732872185000000,-46
device_uplink,1592732903333000000,-67
device_uplink,1592732934486000000,-69
device_uplink,1592732965638000000,-52
device_uplink,1592732996771000000,-78
device_uplink,1592733029080000000,-84
device_uplink,1592733061370000000,-82
device_uplink,1592733093676000000,-87
device_uplink,1592733125970000000,-95
device_uplink,1592733158276000000,-98
device_uplink,1592733222875000000,-95
device_uplink,1592733578203000000,-99
device_uplink,1592733609320000000,-100
device_uplink,1592739032266000000,-108
device_uplink,1592739063402000000,-97
device_uplink,1592739126848000000,-100
device_uplink,1592739157979000000,-95
device_uplink,1592739189134000000,-93
device_uplink,1592739220271000000,-96
device_uplink,1592739252576000000,-89
device_uplink,1592739283726000000,-83
device_uplink,1592739316017000000,-72
device_uplink,1592739347162000000,-78
device_uplink,1592739378294000000,-71
device_uplink,1592739409442000000,-53
device_uplink,1592739440576000000,-43
device_uplink,1592739472867000000,-31
device_uplink,1592739505177000000,-30
device_uplink,1592739537477000000,-33
device_uplink,1592739569777000000,-33
device_uplink,1592739602083000000,-35
device_uplink,1592739634382000000,-33
device_uplink,1592739666680000000,-31
device_uplink,1592739698982000000,-34
device_uplink,1592739731281000000,-33
device_uplink,1592739763588000000,-31
device_uplink,1592739795886000000,-33
device_uplink,1592739828185000000,-33
device_uplink,1592739859317000000,-33
device_uplink,1592739891620000000,-31
device_uplink,1592739923917000000,-48
device_uplink,1592739956221000000,-27
device_uplink,1592739988524000000,-23
device_uplink,1592740020827000000,-37
device_uplink,1592740053126000000,-57
device_uplink,1592740085421000000,-41
device_uplink,1592740117724000000,-57
device_uplink,1592740150036000000,-65
device_uplink,1592740182329000000,-85
device_uplink,1592740214639000000,-92
device_uplink,1592740279238000000,-100
device_uplink,1592740310368000000,-96
device_uplink,1592740342673000000,-99
device_uplink,1592741214812000000,-96
device_uplink,1592741278249000000,-102
device_uplink,1592741341688000000,-96
device_uplink,1592741372830000000,-98
device_uplink,1592741468566000000,-103
device_uplink,1592741500867000000,-88
device_uplink,1592741533160000000,-97
device_uplink,1592741920783000000,-95
device_uplink,1592741984216000000,-96
device_uplink,1592742016520000000,-105
device_uplink,1592743211879000000,-102
device_uplink,1592743243101000000,-98
device_uplink,1592743307845000000,-92
device_uplink,1592743340211000000,-85
device_uplink,1592743371401000000,-84
device_uplink,1592743434841000000,-69
device_uplink,1592743465980000000,-95
device_uplink,1592743497107000000,-54
device_uplink,1592743529412000000,-53
device_uplink,1592743560547000000,-48
device_uplink,1593600513486000000,-33
device_uplink,1593600544617000000,-33
device_uplink,1593600567052000000,-34
device_uplink,1593601331143000000,-27
device_uplink,1593601336260000000,-29
device_uplink,1593601341392000000,-31
device_uplink,1593601346012000000,-35
device_uplink,1593601350631000000,-39
device_uplink,1593601362951000000,-39
device_uplink,1593601375269000000,-41
device_uplink,1593601387585000000,-40
device_uplink,1593601399903000000,-45
device_uplink,1593601412216000000,-42
device_uplink,1593601424534000000,-41
device_uplink,1593601436847000000,-45
device_uplink,1593601449171000000,-46
device_uplink,1593601461471000000,-45
device_uplink,1593601473795000000,-47
device_uplink,1593601486110000000,-48
device_uplink,1593601498427000000,-47
device_uplink,1593601510736000000,-47
device_uplink,1593601523057000000,-51
device_uplink,1593601535371000000,-41
device_uplink,1593601547686000000,-42
device_uplink,1593601560014000000,-45
device_uplink,1593601572330000000,-43
device_uplink,1593601584638000000,-47
device_uplink,1593601596955000000,-47
device_uplink,1593601609271000000,-42
device_uplink,1593601621597000000,-49
device_uplink,1593601633909000000,-51
device_uplink,1593601700166000000,-31
device_uplink,1593601705288000000,-33
device_uplink,1593601710414000000,-35
device_uplink,1593601715039000000,-37
device_uplink,1593601719671000000,-42
device_uplink,1593601731970000000,-40
device_uplink,1593601744290000000,-41
